InvoiceNo,Category,Product,Quantity,UnitPrice,InvoiceDate,CustomerID,Country
17270,Electronics,Headphones,7,284.39,2022-06-26 19:00:00,1899.0,Canada
10860,Home Decor,Curtains,1,302.29,2022-09-29 03:00:00,1595.0,USA
15390,Electronics,Smartphone,1,87.3,2022-11-22 19:00:00,1433.0,USA
15191,Home Decor,Curtains,5,192.97,2022-12-25 01:00:00,1370.0,Canada
15734,Home Decor,Chair,9,310.51,2022-04-21 13:00:00,1559.0,USA
16265,Groceries,Rice,6,485.06,2022-08-22 19:00:00,1890.0,UK
10466,Books,Textbook,3,365.18,2022-09-13 07:00:00,1077.0,Germany
14426,Home Decor,Table,3,461.69,2022-06-13 11:00:00,1541.0,Germany
15578,Groceries,Butter,7,382.29,2022-12-19 11:00:00,1284.0,France
18322,Books,Non-Fiction,6,297.9,2022-09-04 08:00:00,1647.0,UK
11685,Home Decor,Curtains,9,100.05,2022-08-02 18:00:00,1139.0,USA
10769,Home Decor,Table,6,335.01,2022-08-15 15:00:00,1552.0,USA
16949,Electronics,Headphones,5,313.57,2022-11-25 08:00:00,1997.0,France
12433,Electronics,Laptop,7,303.22,2022-09-26 17:00:00,1281.0,France
15311,Books,Textbook,1,247.44,2022-03-13 21:00:00,1561.0,USA
15051,Home Decor,Chair,7,266.69,2022-11-10 10:00:00,1257.0,USA
16420,Clothing,Shoes,3,170.55,2022-07-19 08:00:00,1822.0,UK
11184,Electronics,Charger,9,262.06,2022-02-21 08:00:00,1359.0,France
14555,Books,Comics,6,102.79,2022-12-14 10:00:00,1439.0,UK
13385,Home Decor,Curtains,9,403.56,2022-11-07 06:00:00,1269.0,Australia
16396,Home Decor,Curtains,5,96.96,2022-07-12 08:00:00,1133.0,USA
18666,Clothing,Shoes,7,47.06,2022-07-16 21:00:00,1745.0,Canada
19274,Books,,4,220.94,2022-06-03 05:00:00,1639.0,Canada
12558,Home Decor,Lamp,7,330.86,2022-09-19 23:00:00,1103.0,Australia
17849,Electronics,Keyboard,1,221.67,2022-12-20 08:00:00,1765.0,USA
12047,Clothing,Cap,7,141.99,2022-02-28 17:00:00,1094.0,France
12747,Books,Non-Fiction,8,281.29,2022-12-08 21:00:00,1848.0,Canada
19167,Clothing,Jeans,5,176.77,2022-01-11 16:00:00,1728.0,France
19998,Electronics,Charger,2,466.77,2022-03-13 17:00:00,1572.0,Canada
10189,Books,Biography,5,461.71,2022-03-01 07:00:00,1479.0,France
12734,Clothing,T-Shirt,6,253.67,2022-07-26 09:00:00,1779.0,Canada
13005,Groceries,Eggs,2,167.3,2022-05-05 14:00:00,1240.0,France
14658,Electronics,Keyboard,6,369.88,2022-02-19 19:00:00,1012.0,Australia
11899,Electronics,Keyboard,6,23.17,2022-07-09 23:00:00,1146.0,UK
17734,Electronics,Laptop,1,240.01,2022-07-01 21:00:00,1939.0,France
11267,Groceries,Eggs,1,171.48,2022-02-21 20:00:00,1751.0,UK
11528,Groceries,Rice,3,460.67,2022-10-09 22:00:00,1600.0,UK
13556,Home Decor,Sofa,3,10.94,2022-08-09 22:00:00,1094.0,USA
13890,Clothing,Shoes,4,278.64,2022-02-24 10:00:00,1826.0,Australia
18838,Home Decor,Chair,2,371.63,2022-04-11 02:00:00,1292.0,UK
15393,Clothing,T-Shirt,9,245.08,2022-01-21 16:00:00,1024.0,Germany
18792,Groceries,Butter,7,47.27,2022-05-22 15:00:00,1271.0,UK
18433,Groceries,Bread,7,486.37,2022-02-07 21:00:00,1504.0,France
17513,Home Decor,Table,6,261.42,2022-01-16 12:00:00,1165.0,UK
12612,Books,Biography,3,309.02,2022-09-17 20:00:00,1938.0,France
17041,Home Decor,Curtains,6,122.12,2022-02-26 00:00:00,1761.0,France
19555,Clothing,Jacket,8,244.33,2022-12-21 19:00:00,1086.0,Germany
16235,Home Decor,Lamp,8,217.43,2022-04-12 07:00:00,1653.0,UK
15486,Electronics,Headphones,9,42.07,2022-07-14 14:00:00,1645.0,UK
17099,Clothing,Shoes,1,57.55,2022-04-27 00:00:00,1984.0,Canada
19670,Clothing,Jacket,1,419.55,2022-03-12 15:00:00,1790.0,Canada
10775,Books,Textbook,3,123.71,2022-03-21 11:00:00,1637.0,USA
18226,Groceries,Milk,3,101.5,2022-07-20 14:00:00,1827.0,France
13152,Clothing,Jacket,8,254.93,2022-02-02 12:00:00,1490.0,Germany
11585,Groceries,Butter,1,385.53,2022-02-12 11:00:00,,Canada
13943,Home Decor,Lamp,2,35.66,2022-02-28 11:00:00,1140.0,UK
17555,Electronics,Charger,2,290.52,2022-03-01 10:00:00,1867.0,USA
13073,Books,Textbook,3,64.01,2022-09-02 12:00:00,1102.0,Germany
11021,Groceries,Milk,6,23.05,2022-01-01 10:00:00,1225.0,Australia
13843,Clothing,Shoes,1,31.11,2022-09-21 18:00:00,1901.0,UK
17989,Groceries,Rice,2,417.91,2022-04-28 17:00:00,1574.0,UK
19692,Clothing,T-Shirt,1,63.4,2022-11-08 00:00:00,1293.0,Australia
16873,Groceries,Eggs,5,27.35,2022-05-06 03:00:00,1895.0,France
15675,Clothing,,7,221.76,2022-10-27 19:00:00,1305.0,France
10161,Home Decor,Lamp,8,422.78,2022-10-08 00:00:00,1253.0,Canada
