Order_ID,Order_Date,Customer_ID,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Profit,Discount
CA-2018-1001,2018-01-03,CUS-1001,East,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,261.96,41.91,0.0
CA-2018-1002,2018-01-05,CUS-1002,West,Technology,Phones,Apple iPhone 8,3,1819.44,351.73,0.1
CA-2018-1003,2018-01-10,CUS-1003,Central,Office Supplies,Paper,Recycled Printer Paper,5,15.48,5.30,0.0
CA-2018-1004,2018-02-15,CUS-1004,South,Furniture,Chairs,Ergonomic Executive Chair,2,731.94,219.58,0.2
CA-2018-1005,2018-02-17,CUS-1005,East,Office Supplies,Storage,Stacking Trays,3,35.20,7.40,0.0
CA-2018-1006,2018-03-02,CUS-1001,West,Technology,Accessories,Logitech Wireless Mouse,4,99.90,21.50,0.1
CA-2018-1007,2018-03-08,CUS-1006,Central,Furniture,Tables,Conference Table,1,957.58,144.72,0.2
CA-2018-1008,2018-03-22,CUS-1007,South,Office Supplies,Binders,Avery Binder,6,22.37,4.45,0.0
CA-2018-1009,2018-04-01,CUS-1008,East,Technology,Phones,Samsung Galaxy S9,2,1499.98,389.99,0.15
CA-2018-1010,2018-04-12,CUS-1009,West,Furniture,Furnishings,Desk Lamp,3,153.82,21.75,0.0
CA-2018-1011,2018-05-05,CUS-1010,South,Office Supplies,Art,Markers Set,4,47.80,9.10,0.0
CA-2018-1012,2018-05-19,CUS-1011,Central,Furniture,Chairs,Office Chair,2,450.00,95.00,0.1
CA-2018-1013,2018-06-02,CUS-1012,East,Technology,Accessories,External Hard Drive,1,120.00,30.00,0.05
CA-2018-1014,2018-06-17,CUS-1013,South,Office Supplies,Storage,Plastic File Box,5,45.60,8.40,0.0
CA-2018-1015,2018-07-03,CUS-1014,West,Furniture,Bookcases,Wooden Bookcase,1,300.00,60.00,0.1
CA-2018-1016,2018-07-16,CUS-1015,Central,Technology,Phones,Google Pixel 2,2,1380.00,276.00,0.1
CA-2018-1017,2018-08-01,CUS-1016,South,Office Supplies,Paper,Copy Paper,10,24.90,5.00,0.0
CA-2018-1018,2018-08-14,CUS-1017,East,Technology,Accessories,USB-C Cable,3,45.00,9.00,0.0
CA-2018-1019,2018-09-03,CUS-1018,Central,Furniture,Tables,Adjustable Table,1,700.00,140.00,0.1
CA-2018-1020,2018-09-18,CUS-1019,West,Office Supplies,Binders,3-Ring Binder,5,25.00,5.00,0.0
CA-2018-1021,2018-10-02,CUS-1020,East,Furniture,Furnishings,Desk Organizer,2,88.00,12.50,0.0
CA-2018-1022,2018-10-10,CUS-1021,South,Technology,Phones,OnePlus 6,2,1100.00,220.00,0.05
CA-2018-1023,2018-10-26,CUS-1022,Central,Office Supplies,Art,Paint Brushes,3,33.00,6.00,0.0
CA-2018-1024,2018-11-05,CUS-1023,West,Furniture,Chairs,Executive Chair,2,580.00,150.00,0.1
CA-2018-1025,2018-11-20,CUS-1024,East,Office Supplies,Storage,File Cabinet,1,250.00,50.00,0.1
CA-2018-1026,2018-12-03,CUS-1025,South,Technology,Accessories,Wireless Keyboard,2,90.00,15.00,0.1
CA-2018-1027,2018-12-17,CUS-1026,Central,Office Supplies,Paper,Premium Paper,4,19.60,4.00,0.0
CA-2018-1028,2018-12-28,CUS-1027,West,Technology,Phones,Apple iPhone X,1,999.00,250.00,0.05
CA-2019-1029,2019-01-12,CUS-1028,East,Furniture,Tables,Glass Table,1,680.00,90.00,0.2
CA-2019-1030,2019-01-28,CUS-1029,Central,Office Supplies,Art,Sketch Pad,3,27.00,6.50,0.0
CA-2019-1031,2019-02-04,CUS-1030,South,Technology,Accessories,Power Bank,2,70.00,15.00,0.05
CA-2019-1032,2019-02-17,CUS-1031,West,Furniture,Chairs,Mesh Chair,3,510.00,120.00,0.1
CA-2019-1033,2019-03-01,CUS-1032,East,Office Supplies,Binders,Large Binder,4,30.00,6.00,0.0
