OrderID,OrderDate,ShipDate,Region,State,Category,SubCategory,Segment,ShipMode,Quantity,Sales,Discount,Profit
10001,2022-04-13,2022-04-15,East,New York,Furniture,Tables,Home Office,Second Class,3,819.78,0.2,-230.02
10002,2023-03-12,2023-03-15,Central,Ohio,Furniture,Tables,Corporate,Same Day,8,785.86,0.3,-217.81
10003,2022-12-15,2022-12-17,South,Alabama,Technology,Phones,Corporate,Standard Class,3,1315.25,0.2,-21.33
10004,2022-09-28,2022-09-30,East,Florida,Furniture,Tables,Consumer,First Class,2,609.9,0.2,-201.0
10005,2022-04-17,2022-04-19,Central,Illinois,Furniture,Tables,Home Office,First Class,5,895.45,0.1,-144.61
10006,2022-03-13,2022-03-14,East,Massachusetts,Office Supplies,Binders,Consumer,First Class,5,1394.35,0.5,-585.08
10007,2022-07-08,2022-07-09,West,California,Technology,Phones,Home Office,Standard Class,2,146.17,0.1,13.92
10008,2022-01-21,2022-01-22,West,Washington,Technology,Accessories,Home Office,Standard Class,9,497.0,0.0,96.36
10009,2022-04-13,2022-04-16,Central,Ohio,Technology,Copiers,Home Office,Same Day,8,3504.43,0.5,-2273.33
10010,2022-05-02,2022-05-08,Central,Illinois,Furniture,Bookcases,Consumer,Same Day,4,1620.15,0.0,240.82
10011,2023-04-12,2023-04-17,South,Georgia,Office Supplies,Paper,Home Office,Second Class,4,450.32,0.1,58.53
10012,2022-08-03,2022-08-05,East,Massachusetts,Technology,Phones,Consumer,Standard Class,8,2904.42,0.1,-672.83
10013,2022-11-27,2022-11-29,West,Oregon,Office Supplies,Binders,Consumer,Second Class,8,601.82,0.2,58.74
10014,2023-04-04,2023-04-07,South,Alabama,Office Supplies,Paper,Corporate,Standard Class,2,458.46,0.2,-69.42
10015,2022-03-29,2022-03-31,Central,Ohio,Office Supplies,Paper,Consumer,Second Class,9,3341.96,0.3,-1470.34
10016,2023-01-08,2023-01-09,South,Georgia,Furniture,Bookcases,Corporate,Second Class,9,3797.53,0.1,67.09
10017,2022-04-10,2022-04-15,South,Louisiana,Furniture,Chairs,Consumer,Standard Class,9,4017.23,0.3,-855.73
10018,2022-12-26,2022-12-30,East,Massachusetts,Office Supplies,Pens,Corporate,First Class,3,983.77,0.1,-203.19
